index,input_horizontal,input_vertical,step,Execution_time,Throughout,number_of_layers,FLOPs_G,Total_params_M,Memory_M,total_num_of_neurons_M
0,224,224,1,6.82908058166504,7.32162981562142,18,0.67,11.75,2.049468,0.562542
1,224,224,2,5.30471801757813,9.42557169567093,18,0.58,7.44,2.146068,0.586692
2,224,224,3,5.07427215576172,9.85362993256602,18,0.68,6.54,2.293116,0.623454
3,224,224,4,5.75541496276856,8.68747089887473,18,0.68,8.29,2.252948,0.613412
4,224,224,5,6.50899410247803,7.68167849176029,18,0.53,11.31,1.7887,0.49735
5,224,224,6,5.22397994995117,9.57124653598017,18,0.56,7.55,1.955244,0.538986
6,224,224,7,5.09120464324951,9.82085842223914,18,0.72,6.8,2.259772,0.615118
7,224,224,8,5.27154445648193,9.48488633886405,18,0.76,6.74,2.380044,0.645186
8,224,224,9,6.0685396194458,8.23921456156962,18,0.68,9.72,2.044036,0.561184
9,224,224,10,6.22509956359863,8.03200004902344,18,0.52,10.31,1.781132,0.495458
10,256,256,1,7.3129415512085,6.8371939868352,18,1.02,9.63,2.826956,0.772274
11,256,256,2,6.29780292510986,7.93927669610712,18,0.99,7.62,2.761132,0.755818
12,256,256,3,7.84823417663574,6.37085984881165,18,1.11,10.55,3.068172,0.832578
13,256,256,4,8.04902076721191,6.21193576784862,18,0.85,12.72,2.748812,0.752738
14,256,256,5,8.03371429443359,6.22377124297836,18,0.74,14.25,2.486924,0.687266
15,256,256,6,7.07700252532959,7.06513807520104,18,0.89,10.06,2.732716,0.748714
16,256,256,7,8.46039295196533,5.90989098070026,18,1.04,12.82,3.016748,0.819722
17,256,256,8,6.49374008178711,7.6997230209805,18,1.04,7.21,3.04062,0.82569
18,256,256,9,6.84677124023438,7.3027122194736,18,0.94,8.84,2.665004,0.731786
19,256,256,10,8.24041366577148,6.06765655560313,18,1.09,11.79,3.028812,0.822738
20,288,288,1,9.84534740447998,5.07854095399907,18,1.55,13.01,3.958948,1.07268
21,288,288,2,7.37210273742676,6.78232544782095,18,1.27,7.71,3.8035,1.033818
22,288,288,3,7.06562042236328,7.07651940114782,18,1.12,7.45,3.407052,0.934706
23,288,288,4,9.72902774810791,5.13925967676718,18,1.17,14.72,3.829748,1.04038
24,288,288,5,8.18267345428467,6.1104723632615,18,1.46,8.31,3.811804,1.035894
25,288,288,6,10.408935546875,4.8035651460068,18,1.34,16.56,3.801524,1.033324
26,288,288,7,10.4367685317993,4.79075490154422,18,1.59,14.97,4.123628,1.11385
27,288,288,8,11.14905834198,4.48468368056996,18,1.26,18.52,3.789044,1.030204
28,288,288,9,7.7564811706543,6.44622205610051,18,1.35,7.51,3.934388,1.06654
29,288,288,10,9.24871921539307,5.40615395878628,18,1.18,13.19,3.334588,0.91659
30,320,320,1,11.5311861038208,4.33606738715567,18,1.91,14.57,5.033804,1.36085
31,320,320,2,8.52116107940674,5.86774496269481,18,1.53,8.42,4.621964,1.25789
32,320,320,3,10.3302574157715,4.84015044229814,18,1.67,11.86,4.513036,1.230658
33,320,320,4,8.78403186798096,5.69214692654487,18,1.6,8.31,4.28894,1.174634
34,320,320,5,11.1739635467529,4.47468794674291,18,1.51,15.26,4.144684,1.13857
35,320,320,6,9.29574489593506,5.37880509413124,18,1.8,8.97,4.866348,1.318986
36,320,320,7,11.3375520706177,4.41012307494311,18,1.87,13.26,4.81534,1.306234
37,320,320,8,12.4496555328369,4.01617537675008,18,1.72,17.89,4.422924,1.20813
38,320,320,9,14.816517829895,3.37461207647022,18,2,22.62,5.329388,1.434746
39,320,320,10,13.3659982681274,3.74083543907304,18,1.85,18.9,4.57902,1.247154
40,352,352,1,15.1266670227051,3.30542081245989,18,2.36,21.34,5.674804,1.542604
41,352,352,2,14.8951435089111,3.35679880963128,18,2.53,18.12,6.60102,1.774158
42,352,352,3,15.5571556091309,3.21395512497502,18,2.71,20.34,6.459636,1.738812
43,352,352,4,12.7498292922974,3.92162113340661,18,2.04,16.02,5.688476,1.546022
44,352,352,5,12.0970630645752,4.13323463167015,18,1.84,15.56,5.293892,1.447376
45,352,352,6,16.2818336486816,3.07090718888708,18,2.33,24.41,6.161444,1.664264
46,352,352,7,16.5981149673462,3.01239026831457,18,2.8,22.79,6.863932,1.839886
47,352,352,8,12.2526597976685,4.08074661548299,18,2.21,14.51,5.803716,1.574832
48,352,352,9,10.1805448532105,4.91132849183729,18,2.01,10.03,5.426068,1.48042
49,352,352,10,14.9319076538086,3.34853396894983,18,2.58,20.32,6.1051,1.650178
50,384,384,1,19.8379802703857,2.52041787109952,18,3.56,23.15,8.148396,2.184554
51,384,384,2,15.8902263641357,3.146588277235,18,2.64,19.03,7.354476,1.986074
52,384,384,3,17.1592855453491,2.91387423257561,18,2.55,23.66,6.96462,1.88861
53,384,384,4,14.9679136276245,3.34047892337653,18,2.42,18.09,6.354476,1.736074
54,384,384,5,15.5149555206299,3.22269696058852,18,3.03,15.34,7.794092,2.095978
55,384,384,6,20.2649688720703,2.46731195668952,18,3.07,26.91,7.063308,1.913282
56,384,384,7,16.3770484924316,3.0530531812925,18,2.9,18.41,7.473932,2.015938
57,384,384,8,25.2019214630127,0.991987854445581,18,3.43,38.95,7.819596,2.102354
58,384,384,9,18.3377170562744,1.36331037954618,18,3.06,23.33,7.1267,1.92913
59,384,384,10,19.0271091461182,1.3139147837968,18,3.32,22.66,7.757388,2.086802
60,416,416,1,27.131814956665,0.921427484299521,18,4.26,37.34,9.853756,2.636494
61,416,416,2,21.2265300750732,1.17777139794309,18,3.63,25.52,9.237356,2.482394
62,416,416,3,19.6764373779297,1.27055520874127,18,3.49,21.33,8.192284,2.221126
63,416,416,4,22.7061939239502,1.10102116117446,18,3.38,31.56,8.650924,2.335786
64,416,416,5,21.8535900115967,1.14397680137376,18,3.87,25.95,8.79594,2.37204
65,416,416,6,23.9157295227051,1.04533712744433,18,2.93,36.68,7.317652,2.002468
66,416,416,7,25.5317115783691,0.979174464009705,18,3.37,38.87,8.893124,2.396336
67,416,416,8,26.7097282409668,0.93598855721997,18,3.25,43.1,8.494548,2.296692
68,416,416,9,22.0672988891602,1.13289805542447,18,2.99,30.59,8.002588,2.173702
69,416,416,10,23.0105590820312,1.08645773928728,18,4,26.75,9.454452,2.536668
70,448,448,1,25.9207248687744,0.964479200584256,18,3.57,33.04,8.904684,2.426874
71,448,448,2,26.0134696960449,0.961040579827034,18,4.1,29.3,10.43022,2.808258
72,448,448,3,30.730094909668,0.813534747402774,18,5.05,35.85,11.152204,2.988754
73,448,448,4,28.588695526123,0.874471518896556,18,3.94,40.86,9.979532,2.695586
74,448,448,5,26.064624786377,0.959154417333742,18,4.36,30.43,10.18782,2.747658
75,448,448,6,30.7558727264404,0.812852889019398,18,3.49,45.07,8.747532,2.387586
76,448,448,7,19.4826889038086,1.28319043246196,18,3.63,17.81,9.5787,2.595378
77,448,448,8,23.1598567962646,1.07945399748897,18,4.79,19.75,11.319372,3.030546
78,448,448,9,31.2131023406982,0.800945696685937,18,5.37,38.36,11.952524,3.188834
79,448,448,10,19.0816497802734,1.31015925184021,18,3.63,16.17,9.56974,2.593138
80,480,480,1,30.6355571746826,0.816045220181604,18,4.59,37.9,11.11214,3.008434
81,480,480,2,44.1318607330322,0.566484158717735,18,5.62,65.22,11.89518,3.204194
82,480,480,3,35.7184886932373,0.699917631305978,18,4.98,49.81,11.44426,3.091464
83,480,480,4,30.079174041748,0.831139843311573,18,4.66,35.21,11.919404,3.21025
84,480,480,5,26.978874206543,0.926650971742066,18,4.55,29.79,11.502556,3.106038
85,480,480,6,36.9315052032471,0.67692881355407,18,5.04,50.77,12.307964,3.30739
86,480,480,7,29.2642307281494,0.85428522732198,18,5.46,33.98,12.579876,3.375368
87,480,480,8,27.4709701538086,0.910051587549557,18,6.46,19.97,14.056604,3.74455
88,480,480,9,39.3026447296143,0.636089509293574,18,5.32,54.79,12.084772,3.251592
89,480,480,10,29.389762878418,0.850636328827221,18,3.98,41.81,10.002092,2.730922
90,512,512,1,43.4486770629883,0.575391512237693,18,5.81,61.82,13.127084,3.543914
91,512,512,4,30.9820079803467,0.806919939335716,18,6.65,24.16,15.110796,4.039842
92,512,512,5,29.78271484375,0.839413066644807,18,5.85,24.58,13.517164,3.641434
93,512,512,6,38.2279968261719,0.653970965668919,18,6.3,43.88,14.95966,4.002058
94,512,512,7,36.5216541290283,0.684525402701554,18,6.51,38.43,14.277484,3.831514
95,512,512,8,30.3621673583984,0.82339312951204,18,6.3,25.09,13.737356,3.696482
96,512,512,10,40.2469730377197,0.621164726514211,18,5.43,53.54,13.698796,3.686842
