model_num,input_horizontal,input_vertical,step,number of layers,FLOPs,Total_params,Memory
1,96,96,1,15,0.13,0.5,6.461572
2,96,96,2,15,0.13,0.5,6.461572
3,96,96,3,15,0.13,0.5,6.461572
4,96,96,4,15,0.13,0.5,6.461572
5,96,96,5,15,0.13,0.5,6.461572
6,96,96,6,15,0.13,0.5,6.461572
7,96,96,7,15,0.13,0.5,6.461572
8,96,96,8,15,0.13,0.5,6.461572
9,96,96,9,15,0.13,0.5,6.461572
10,96,96,10,15,0.13,0.5,6.461572
11,128,128,1,15,0.35,1.19,15.26234
12,128,128,2,15,0.35,1.19,15.26234
13,128,128,3,15,0.35,1.19,15.26234
14,128,128,4,15,0.35,1.19,15.26234
15,128,128,5,15,0.35,1.19,15.26234
16,128,128,6,15,0.35,1.19,15.26234
17,128,128,7,15,0.35,1.19,15.26234
18,128,128,8,15,0.35,1.19,15.26234
19,128,128,9,15,0.35,1.19,15.26234
20,128,128,10,15,0.35,1.19,15.26234
21,160,160,1,15,0.43,0.69,15.300804
22,160,160,2,15,0.43,0.69,15.300804
23,160,160,3,15,0.43,0.69,15.300804
24,160,160,4,15,0.43,0.69,15.300804
25,160,160,5,15,0.43,0.69,15.300804
26,160,160,6,15,0.43,0.69,15.300804
27,160,160,7,15,0.43,0.69,15.300804
28,160,160,8,15,0.43,0.69,15.300804
29,160,160,9,15,0.43,0.69,15.300804
30,160,160,10,15,0.43,0.69,15.300804
31,192,192,1,15,0.68,1.17,33.800548
32,192,192,2,15,0.68,1.17,33.800548
33,192,192,3,15,0.68,1.17,33.800548
34,192,192,4,15,0.68,1.17,33.800548
35,192,192,5,15,0.68,1.17,33.800548
36,192,192,6,15,0.68,1.17,33.800548
37,192,192,7,15,0.68,1.17,33.800548
38,192,192,8,15,0.68,1.17,33.800548
39,192,192,9,15,0.68,1.17,33.800548
40,192,192,10,15,0.68,1.17,33.800548
41,224,224,1,15,1.35,1.78,61.352316
42,224,224,2,15,1.35,1.78,61.352316
43,224,224,3,15,1.35,1.78,61.352316
44,224,224,4,15,1.35,1.78,61.352316
45,224,224,5,15,1.35,1.78,61.352316
46,224,224,6,15,1.35,1.78,61.352316
47,224,224,7,15,1.35,1.78,61.352316
48,224,224,8,15,1.35,1.78,61.352316
49,224,224,9,15,1.35,1.78,61.352316
50,224,224,10,15,1.35,1.78,61.352316
51,256,256,1,15,1.68,1.34,53.30842
52,256,256,2,15,1.68,1.34,53.30842
53,256,256,3,15,1.68,1.34,53.30842
54,256,256,4,15,1.68,1.34,53.30842
55,256,256,5,15,1.68,1.34,53.30842
56,256,256,6,15,1.68,1.34,53.30842
57,256,256,7,15,1.68,1.34,53.30842
58,256,256,8,15,1.68,1.34,53.30842
59,256,256,9,15,1.68,1.34,53.30842
60,256,256,10,15,1.68,1.34,53.30842
61,288,288,1,15,1.8,1.02,81.541732
62,288,288,2,15,1.8,1.02,81.541732
63,288,288,3,15,1.8,1.02,81.541732
64,288,288,4,15,1.8,1.02,81.541732
65,288,288,5,15,1.8,1.02,81.541732
66,288,288,6,15,1.8,1.02,81.541732
67,288,288,7,15,1.8,1.02,81.541732
68,288,288,8,15,1.8,1.02,81.541732
69,288,288,9,15,1.8,1.02,81.541732
70,288,288,10,15,1.8,1.02,81.541732
71,320,320,1,15,1.52,0.79,58.136804
72,320,320,2,15,1.52,0.79,58.136804
73,320,320,3,15,1.52,0.79,58.136804
74,320,320,4,15,1.52,0.79,58.136804
75,320,320,5,15,1.52,0.79,58.136804
76,320,320,6,15,1.52,0.79,58.136804
77,320,320,7,15,1.52,0.79,58.136804
78,320,320,8,15,1.52,0.79,58.136804
79,320,320,9,15,1.52,0.79,58.136804
80,320,320,10,15,1.52,0.79,58.136804
81,352,352,1,15,2.3,0.9,100.195748
82,352,352,2,15,2.3,0.9,100.195748
83,352,352,3,15,2.3,0.9,100.195748
84,352,352,4,15,2.3,0.9,100.195748
85,352,352,5,15,2.3,0.9,100.195748
86,352,352,6,15,2.3,0.9,100.195748
87,352,352,7,15,2.3,0.9,100.195748
88,352,352,8,15,2.3,0.9,100.195748
89,352,352,9,15,2.3,0.9,100.195748
90,352,352,10,15,2.3,0.9,100.195748
91,384,384,1,15,2.94,0.92,127.723396
92,384,384,2,15,2.94,0.92,127.723396
93,384,384,3,15,2.94,0.92,127.723396
94,384,384,4,15,2.94,0.92,127.723396
95,384,384,5,15,2.94,0.92,127.723396
96,384,384,6,15,2.94,0.92,127.723396
97,384,384,7,15,2.94,0.92,127.723396
98,384,384,8,15,2.94,0.92,127.723396
99,384,384,9,15,2.94,0.92,127.723396
100,384,384,10,15,2.94,0.92,127.723396
101,416,416,1,15,3.33,1.92,178.377476
102,416,416,2,15,3.33,1.92,178.377476
103,416,416,3,15,3.33,1.92,178.377476
104,416,416,4,15,3.33,1.92,178.377476
105,416,416,5,15,3.33,1.92,178.377476
106,416,416,6,15,3.33,1.92,178.377476
107,416,416,7,15,3.33,1.92,178.377476
108,416,416,8,15,3.33,1.92,178.377476
109,416,416,9,15,3.33,1.92,178.377476
