model_num,input_horizontal,input_vertical,FLOPs,Total_params
1,64,64,0.62,23.59
2,64,96,0.93,23.59
3,64,128,1.25,23.6
4,64,160,1.56,23.6
5,64,192,1.87,23.6
6,64,224,2.18,23.6
7,96,64,0.93,23.59
8,96,96,1.4,23.59
9,96,128,1.87,23.6
10,96,160,2.35,23.6
11,96,192,2.82,23.6
12,96,224,3.29,23.6
13,128,64,1.25,23.6
14,128,96,1.87,23.6
15,128,128,2.5,23.6
16,128,160,3.13,23.6
17,128,192,3.76,23.61
18,128,224,4.39,23.61
19,160,64,1.56,23.6
20,160,96,2.35,23.6
21,160,128,3.13,23.6
22,160,160,3.92,23.6
23,160,192,4.71,23.61
24,160,224,5.5,23.61
25,192,64,1.87,23.6
26,192,96,2.82,23.6
27,192,128,3.76,23.61
28,192,160,4.71,23.61
29,192,192,5.65,23.62
30,192,224,6.6,23.62
31,224,64,2.18,23.6
32,224,96,3.29,23.6
33,224,128,4.39,23.61
34,224,160,5.5,23.61
35,224,192,6.6,23.62
36,224,224,7.7,23.62
