model_num,input_horizontal,input_vertical,step,number_of_layers,FLOPs_G,Total_params_M,Memory_M,total_num_of_neurons_M
1,32,32,1,22,0.24,10.42,0.858396,0.215622
2,32,32,2,22,0.36,15.09,0.982876,0.246742
3,32,32,3,22,0.35,11.93,1.004988,0.25227
4,32,32,4,22,0.35,12.83,0.99654,0.250158
5,32,32,5,22,0.23,14.79,0.850076,0.213542
6,32,32,6,22,0.31,9.08,0.96182,0.241478
7,32,32,7,22,0.41,11.8,1.072044,0.269034
8,32,32,8,22,0.3,8.98,0.936444,0.235134
9,32,32,9,22,0.31,13.78,0.947484,0.237894
10,32,32,10,22,0.34,14.09,1.039532,0.260906
11,64,64,1,22,0.84,12.34,3.098732,0.778778
12,64,64,2,22,1.39,11.46,4.155372,1.042938
13,64,64,3,22,1.35,9.96,4.201388,1.054442
14,64,64,4,22,0.82,19.44,3.296364,0.828186
15,64,64,5,22,1.2,22.48,3.770156,0.946634
16,64,64,6,22,1.28,15.11,3.991468,1.001962
17,64,64,7,22,1.33,19.4,3.873196,0.972394
18,64,64,8,22,1.36,11.59,4.190252,1.051658
19,64,64,9,22,1.15,15.75,3.72062,0.93425
20,64,64,10,22,1.36,15.74,3.839084,0.963866
21,96,96,1,22,2.84,21.22,8.62438,2.16531
22,96,96,2,22,2.83,19.4,8.73942,2.19407
23,96,96,3,22,2.32,11.69,8.216476,2.063334
24,96,96,4,22,2.7,22.39,8.466284,2.125786
25,96,96,5,22,2.03,24.52,7.5203,1.88929
26,96,96,6,22,3.27,27.13,9.597372,2.408558
27,96,96,7,22,2.79,18.22,8.726012,2.190718
28,96,96,8,22,2.87,24.31,8.712332,2.187298
29,96,96,9,22,2.92,23.94,8.986668,2.255882
30,96,96,10,22,2.73,25.72,8.706124,2.185746
31,128,128,1,22,5.31,27.49,14.890284,3.738954
32,128,128,2,22,2.74,14.91,12.274988,3.08513
33,128,128,3,22,5.67,40.65,16.105772,4.042826
34,128,128,4,22,4.63,34.97,15.342892,3.852106
35,128,128,5,22,4.29,16.73,15.367468,3.85825
36,128,128,6,22,3.89,17.52,13.123372,3.297226
37,128,128,7,22,4.09,31.73,14.508076,3.643402
38,128,128,8,22,4.74,32.86,14.736684,3.700554
39,128,128,9,22,4.43,21.64,14.462508,3.63201
40,128,128,10,22,5.4,19.14,16.52126,4.146698
41,144,144,1,22,5.89,35.88,18.825316,4.727064
42,144,144,2,22,5.93,28.75,19.592916,4.918964
43,144,144,3,22,7.01,29.64,21.169756,5.313174
44,144,144,4,22,7.36,31.79,20.432124,5.128766
45,144,144,5,22,5.83,24.03,18.717308,4.700062
46,144,144,6,22,5.66,32.72,17.81078,4.47343
47,144,144,7,22,6.2,33.73,19.066076,4.787254
48,144,144,8,22,4.99,24.89,17.364388,4.361832
49,144,144,9,22,7.38,21.12,19.448452,4.882848
50,144,144,10,22,7.78,29.32,20.13846,5.05535
51,160,160,1,22,5.73,20.61,22.24222,5.586154
52,160,160,2,22,6.96,28.93,23.666252,5.942162
53,160,160,3,22,6.89,42.2,22.630524,5.68323
54,160,160,4,22,6.81,47.41,22.626172,5.682142
55,160,160,5,22,5.7,47.81,20.90606,5.252114
56,160,160,6,22,7.5,30.9,23.664716,5.941778
57,160,160,7,22,7.09,39.63,21.415132,5.379382
58,160,160,8,22,7.78,31.82,23.826364,5.98219
59,160,160,9,22,8.04,43.72,24.530508,6.158226
60,160,160,10,22,5.08,30.25,20.385644,5.12201
61,176,176,1,22,11.08,32.79,29.429316,7.388304
62,176,176,2,22,10.8,26.08,31.960212,8.021028
63,176,176,3,22,7.12,44.76,25.166108,6.322502
64,176,176,4,22,10.8,44.59,30.078868,7.550692
65,176,176,5,22,7.5,38.02,28.065076,7.047244
66,176,176,6,22,12.12,34.62,31.679492,7.950848
67,176,176,7,22,12.82,48.17,33.15038,8.31857
68,176,176,8,22,9.13,23.68,27.975668,7.024892
69,176,176,9,22,8.37,38.85,26.942636,6.766634
70,176,176,10,22,9.7,33.27,28.521164,7.161266
71,192,192,1,22,13.54,52.97,37.719276,9.466682
72,192,192,2,22,11.61,56.66,33.382252,8.382426
73,192,192,3,22,11.3,57.8,33.333164,8.370154
74,192,192,4,22,10.9,39.58,34.001196,8.537162
75,192,192,5,22,9.78,27.52,31.323308,7.86769
76,192,192,6,22,9.24,53.6,31.802284,7.987434
77,192,192,7,22,10.26,64.42,35.043692,8.797786
78,192,192,8,22,9.4,35.58,32.221804,8.092314
79,192,192,9,22,8.65,26.53,28.625964,7.193354
80,192,192,10,22,9.08,43.46,30.971436,7.779722
81,208,208,1,22,10.6,44.68,34.164588,8.58441
82,208,208,2,22,11.43,35.59,36.867508,9.26014
83,208,208,3,22,14.14,53.62,41.971268,10.53608
84,208,208,4,22,16.06,38.02,43.32486,10.874478
85,208,208,5,22,12.81,35.69,40.240108,10.10329
86,208,208,6,22,11.16,65.14,36.212804,9.096464
87,208,208,7,22,13.77,54.96,40.246756,10.104952
88,208,208,8,22,14.21,45.33,40.136428,10.07737
89,208,208,9,22,16.89,62.64,43.898548,11.0179
90,208,208,10,22,11.68,47.87,37.376684,9.387434
91,224,224,1,22,15.41,63.6,49.273564,12.368566
92,224,224,2,22,9.73,35.76,38.113308,9.578502
93,224,224,3,22,13.61,46.46,44.877596,11.269574
94,224,224,4,22,14.13,38.45,46.456108,11.664202
95,224,224,5,22,17.08,80.78,51.954268,13.038742
96,224,224,6,22,15.82,83.85,47.4215,11.90555
97,224,224,7,22,17.58,39.33,47.83254,12.00831
98,224,224,8,22,10.73,88.77,39.862028,10.015682
99,224,224,9,22,14.61,41.71,44.983436,11.296034
100,224,224,10,22,15.61,61.81,47.700156,11.975214
